Zone;Année_x;Valeur_x;Année_y;Valeur_y;Taux de sous-nutrition;id
Afghanistan;2017;10.5;2017;36296.113;28.93;AFG
Afrique du Sud;2017;3.1;2017;57009.756;5.44;ZAF
Albanie;2017;0.1;2017;2884.169000000001;3.47;ALB
Algérie;2017;1.3;2017;41389.189;3.14;DZA
Allemagne;2017;;2017;82658.409;;DEU
Andorre;2017;;2017;77.001;;AND
Angola;2017;5.8;2017;29816.766;19.45;AGO
Antigua-et-Barbuda;2017;;2017;95.426;;ATG
Arabie saoudite;2017;1.6;2017;33101.179;4.83;SAU
Argentine;2017;1.5;2017;43937.14;3.41;ARG
Arménie;2017;0.0;2017;2944.791;0.0;ARM
Australie;2017;;2017;24584.62;;AUS
Autriche;2017;;2017;8819.901;;AUT
Azerbaïdjan;2017;;2017;9845.32;;AZE
Bahamas;2017;;2017;381.755;;BHS
Bahreïn;2017;;2017;1494.076;;BHR
Bangladesh;2017;21.5;2017;159685.424;13.46;BGD
Barbade;2017;0.0;2017;286.232;0.0;BRB
Bélarus;2017;;2017;9450.231;;BLR
Belgique;2017;;2017;11419.748;;BEL
Belize;2017;0.0;2017;375.769;0.0;BLZ
Bénin;2017;0.8;2017;11175.198;7.16;BEN
Bermudes;2017;;2017;63.049;;BMU
Bhoutan;2017;;2017;745.563;;BTN
Bolivie (État plurinational de);2017;1.7;2017;11192.855;15.19;BOL
Bosnie-Herzégovine;2017;;2017;3351.525;;BIH
Botswana;2017;0.5;2017;2205.08;22.67;BWA
Brésil;2017;;2017;207833.823;;BRA
Brunéi Darussalam;2017;;2017;424.473;;BRN
Bulgarie;2017;0.2;2017;7102.444;2.82;BGR
Burkina Faso;2017;3.6;2017;19193.234;18.76;BFA
Burundi;2017;;2017;10827.018999999998;;BDI
Cabo Verde;2017;0.0;2017;537.498;0.0;CPV
Cambodge;2017;2.4;2017;16009.409;14.99;KHM
Cameroun;2017;1.6;2017;24566.073;6.51;CMR
Canada;2017;;2017;36732.095;;CAN
Chili;2017;0.6;2017;18470.439;3.25;CHL
Chine - RAS de Hong-Kong;2017;;2017;7306.321999999999;;HKG
Chine - RAS de Macao;2017;0.0;2017;622.585;0.0;MAC
Chine, continentale;2017;;2017;1421021.791;;
Chine, Taiwan Province de;2017;0.9;2017;23674.546;3.8;0.9
Chypre;2017;0.0;2017;1179.678;0.0;CYP
Colombie;2017;2.7;2017;48909.83900000001;5.52;COL
Comores;2017;;2017;813.8919999999998;;COM
Congo;2017;1.4;2017;5110.695;27.39;COG
Costa Rica;2017;0.2;2017;4949.9540000000015;4.04;CRI
Côte d'Ivoire;2017;4.9;2017;24437.47;20.05;CIV
Croatie;2017;;2017;4182.857;;HRV
Cuba;2017;;2017;11339.254;;CUB
